time,status,type,package
2024-06-06 12:09:09,run,CONFIGURATION_CHANGE,android
2024-06-06 12:09:18,run,SCREEN_NON_INTERACTIVE,android
2024-06-06 12:09:18,run,ACTIVITY_PAUSED,com.mc.miband1
2024-06-06 12:09:18,run,ACTIVITY_STOPPED,com.mc.miband1
2024-06-06 12:09:18,run,KEYGUARD_SHOWN,android
2024-06-06 12:09:18,run,CONFIGURATION_CHANGE,android
2024-06-06 12:12:00,sit,NOTIFICATION_SEEN,com.amazon.mShop.android.shopping
2024-06-06 12:12:00,sit,STANDBY_BUCKET_CHANGED,com.amazon.mShop.android.shopping
2024-06-06 12:12:02,sit,FOREGROUND_SERVICE_START,com.mathworks.matlabmobile
2024-06-06 12:12:02,sit,FOREGROUND_SERVICE_START,com.mathworks.matlabmobile
2024-06-06 12:12:02,sit,NOTIFICATION_INTERRUPTION,com.mathworks.matlabmobile
2024-06-06 12:12:04,sit,ACTIVITY_PAUSED,com.mathworks.matlabmobile
2024-06-06 12:12:04,sit,ACTIVITY_RESUMED,com.miui.home
2024-06-06 12:12:04,sit,ACTIVITY_STOPPED,com.mathworks.matlabmobile
2024-06-06 12:12:05,sit,ACTIVITY_PAUSED,com.miui.home
2024-06-06 12:12:05,sit,ACTIVITY_RESUMED,com.mc.miband1
2024-06-06 12:12:06,sit,ACTIVITY_STOPPED,com.miui.home
2024-06-06 12:12:13,sit,ACTIVITY_PAUSED,com.mc.miband1
2024-06-06 12:12:13,sit,ACTIVITY_RESUMED,com.mc.miband1
2024-06-06 12:12:13,sit,CONFIGURATION_CHANGE,android
2024-06-06 12:12:14,sit,ACTIVITY_STOPPED,com.mc.miband1
2024-06-06 12:12:22,sit,NOTIFICATION_SEEN,com.mathworks.matlabmobile
2024-06-06 12:12:22,sit,NOTIFICATION_SEEN,com.mc.miband1
2024-06-06 12:12:34,sit,ACTIVITY_PAUSED,com.mc.miband1
2024-06-06 12:12:34,sit,ACTIVITY_RESUMED,com.miui.home
2024-06-06 12:12:34,sit,CONFIGURATION_CHANGE,android
2024-06-06 12:12:34,sit,ACTIVITY_STOPPED,com.mc.miband1
2024-06-06 12:12:40,sit,ACTIVITY_PAUSED,com.miui.home
2024-06-06 12:12:40,sit,ACTIVITY_RESUMED,com.tencent.mm
2024-06-06 12:12:40,sit,ACTIVITY_STOPPED,com.miui.home
2024-06-06 12:12:52,sit,SCREEN_NON_INTERACTIVE,android
2024-06-06 12:12:52,sit,ACTIVITY_PAUSED,com.tencent.mm
2024-06-06 12:12:52,sit,ACTIVITY_STOPPED,com.tencent.mm
2024-06-06 12:12:52,sit,KEYGUARD_SHOWN,android
2024-06-06 12:13:24,sit,SCREEN_INTERACTIVE,android
2024-06-06 12:13:24,sit,NOTIFICATION_SEEN,com.mc.miband1
2024-06-06 12:13:25,sit,ACTIVITY_RESUMED,com.tencent.mm
2024-06-06 12:13:25,sit,KEYGUARD_HIDDEN,android
2024-06-06 12:13:27,sit,ACTIVITY_PAUSED,com.tencent.mm
2024-06-06 12:13:27,sit,ACTIVITY_RESUMED,com.miui.home
