time,usage,type
2024-06-06 12:12:34,on,CONFIGURATION_CHANGE
2024-06-06 12:12:34,on,ACTIVITY_STOPPED
2024-06-06 12:12:40,on,ACTIVITY_PAUSED
2024-06-06 12:12:40,on,ACTIVITY_RESUMED
2024-06-06 12:12:40,on,ACTIVITY_STOPPED
2024-06-06 12:12:52,off,SCREEN_NON_INTERACTIVE
2024-06-06 12:12:52,off,ACTIVITY_PAUSED
2024-06-06 12:12:52,off,ACTIVITY_STOPPED
2024-06-06 12:12:52,on,KEYGUARD_SHOWN
2024-06-06 12:13:24,use,SCREEN_INTERACTIVE
2024-06-06 12:13:24,use,NOTIFICATION_SEEN
2024-06-06 12:13:25,use,ACTIVITY_RESUMED
2024-06-06 12:13:25,use,KEYGUARD_HIDDEN
2024-06-06 12:13:27,use,ACTIVITY_PAUSED
2024-06-06 12:13:27,use,ACTIVITY_RESUMED
2024-06-06 12:13:27,use,ACTIVITY_PAUSED
2024-06-06 12:13:27,use,ACTIVITY_RESUMED
2024-06-06 12:13:27,use,ACTIVITY_STOPPED
2024-06-06 12:13:27,use,CONFIGURATION_CHANGE
2024-06-06 12:13:27,use,ACTIVITY_STOPPED
2024-06-06 12:13:28,off,SCREEN_NON_INTERACTIVE
2024-06-06 12:13:28,off,ACTIVITY_PAUSED
2024-06-06 12:13:29,off,ACTIVITY_STOPPED
2024-06-06 12:13:29,on,KEYGUARD_SHOWN
2024-06-06 12:13:29,on,CONFIGURATION_CHANGE
2024-06-06 12:14:06,on,NOTIFICATION_INTERRUPTION
2024-06-06 12:14:44,use,SCREEN_INTERACTIVE
2024-06-06 12:14:44,use,NOTIFICATION_SEEN
2024-06-06 12:14:44,use,NOTIFICATION_SEEN
2024-06-06 12:14:44,use,NOTIFICATION_INTERRUPTION
2024-06-06 12:14:45,use,ACTIVITY_RESUMED
2024-06-06 12:14:45,use,KEYGUARD_HIDDEN
2024-06-06 12:14:45,use,CONFIGURATION_CHANGE
2024-06-06 12:14:54,use,ACTIVITY_PAUSED
2024-06-06 12:14:54,use,ACTIVITY_RESUMED
2024-06-06 12:14:55,use,ACTIVITY_STOPPED
2024-06-06 12:14:55,use,CONFIGURATION_CHANGE
