dateTime,BandAccX,BandAccY,BandAccZ,X,Y,Z,Type,altitude,course,hacc,latitude,longitude,speed,rate,rateZone,usage,deviceStatus
2024-06-06 12:07:46.764,,,,-130.681381,-20.63744,-1.89321,Orientation,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.770,,,,0.199801,3.451647,9.379267,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.790,,,,0.287737,3.555734,9.257831,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.810,,,,0.637089,3.392424,8.949157,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.822,,,,10.05,-23.175001,-39.5625,MagneticField,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.830,,,,0.312862,3.753142,9.06162,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.850,,,,0.238684,3.824927,9.367303,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.870,,,,0.291326,3.779463,9.323035,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.882,,,,10.125,-23.231251,-39.450001,MagneticField,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.890,,,,0.495912,3.738785,9.108279,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.910,,,,0.497109,3.875176,8.933603,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.930,,,,0.664607,3.842873,9.029316,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.942,,,,9.88125,-23.325001,-39.225002,MagneticField,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.950,,,,0.749552,3.781856,9.385248,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.964,,,,-130.308138,-22.524927,-3.61205,Orientation,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.970,,,,0.665803,3.844069,9.379267,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.990,,,,0.749552,3.809374,9.114262,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:47.000,,,,,,,Position,78.667,0.0,6.826,52.33469,4.861735,0.0,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:47.002,,,,9.731251,-23.362501,-39.056252,MagneticField,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:47.010,,,,0.681356,3.748357,8.928818,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:47.030,,,,0.706481,3.76391,8.85823,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:47.050,,,,0.717249,3.803392,8.956335,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:47.062,,,,9.356251,-23.53125,-39.337502,MagneticField,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:47.070,,,,0.753141,3.808177,9.24826,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:47.090,,,,0.627518,3.777071,9.29492,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:47.110,,,,0.638285,3.713661,9.267402,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:47.122,,,,9.075001,-23.606251,-39.337502,MagneticField,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:47.129,,,,0.681356,3.707679,9.12144,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:47.150,,,,0.605982,3.790231,9.188439,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:47.163,,,,-130.495327,-22.165455,-3.726374,Orientation,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:47.170,,,,0.524626,3.777071,9.40798,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:47.182,,,,8.8125,-23.75625,-39.46875,MagneticField,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:47.190,,,,0.592822,3.675375,9.686745,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:47.210,,,,0.408574,3.655037,9.436694,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:47.230,,,,0.501895,3.677768,9.116654,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:47.242,,,,8.71875,-23.71875,-39.731251,MagneticField,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:47.250,,,,0.318844,3.738785,8.886943,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:47.270,,,,0.324826,3.84048,8.804391,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:47.290,,,,0.418146,3.866802,8.73141,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:47.302,,,,8.925,-23.700001,-39.5625,MagneticField,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:47.310,,,,0.424128,3.817749,8.944371,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:47.330,,,,0.254237,3.713661,9.343374,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:47.350,,,,0.299701,3.658626,9.47139,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
