dateTime,BandAccX,BandAccY,BandAccZ,altitude,course,hacc,latitude,longitude,speed,rate,rateZone,usage,deviceStatus,Acceleration_X,Acceleration_Y,Acceleration_Z,MagneticField_X,MagneticField_Y,MagneticField_Z,Orientation_X,Orientation_Y,Orientation_Z,AngularVelocity_X,AngularVelocity_Y,AngularVelocity_Z
2024-06-06 12:07:46.190,805.6,7436.4,658.0,79.87286301369863,0.0,6.826,52.33469323287671,4.861724493150685,0.0,98.0,0.51,on,KEYGUARD_SHOWN,1.067797,3.456432,8.87139,8.07,-22.7962504,-40.3725008,-127.7482064352912,-20.600227453524475,-5.338058890906575,0.0,0.0,0.0
2024-06-06 12:07:46.210,805.6,7436.4,658.0,79.85242465753426,0.0,6.826,52.33469317808219,4.861724671232877,0.0,98.0,0.51,on,KEYGUARD_SHOWN,1.140778,3.498307,9.055637,8.02875,-22.8075002,-40.4362504,-127.80968316718777,-20.655991308487035,-5.293568623838232,0.0,0.0,0.0
2024-06-06 12:07:46.222,805.6,7436.4,658.0,79.83198630136987,0.0,6.826,52.33469312328767,4.861724849315069,0.0,98.0,0.51,on,KEYGUARD_SHOWN,1.026521,3.5060835,9.079565500000001,7.9875,-22.81875,-40.5,-127.87122875787993,-20.711710430083855,-5.248998070843013,0.022903,0.041812,0.015979
2024-06-06 12:07:46.230,805.6,7436.4,658.0,79.81154794520549,0.0,6.826,52.33469306849315,4.86172502739726,0.0,98.0,0.51,on,KEYGUARD_SHOWN,0.912264,3.51386,9.103494,7.9078125,-22.78125025,-40.59375,-127.93284334429082,-20.76738470386089,-5.204347123708649,0.022903,0.041812,0.015979
2024-06-06 12:07:46.250,805.6,7436.4,658.0,79.7911095890411,0.0,6.826,52.33469301369863,4.861725205479452,0.0,98.0,0.51,on,KEYGUARD_SHOWN,0.984048,3.549752,9.129815,7.828125,-22.7437505,-40.6875,-127.9945270633029,-20.823014015099872,-5.159615674202838,0.022903,0.041812,0.015979
2024-06-06 12:07:46.270,805.6,7436.4,658.0,79.77067123287672,0.0,6.826,52.33469295890411,4.8617253835616445,0.0,98.0,0.51,on,KEYGUARD_SHOWN,1.041476,3.643072,9.144172,7.7484375,-22.706250750000002,-40.78125,-128.05628005175595,-20.87859824881809,-5.114803614075491,0.022903,0.041812,0.015979
2024-06-06 12:07:46.282,805.6,7436.4,658.0,79.75023287671233,0.0,6.826,52.33469290410959,4.861725561643836,0.0,98.0,0.51,on,KEYGUARD_SHOWN,1.0666005,3.6843485,9.0496555,7.66875,-22.668751,-40.875,-128.11810244644545,-20.934137289767875,-5.069910835060716,0.022903,0.041812,0.015979
2024-06-06 12:07:46.290,805.6,7436.4,658.0,79.72979452054796,0.0,6.826,52.33469284931507,4.861725739726028,0.0,98.0,0.51,on,KEYGUARD_SHOWN,1.091725,3.725625,8.955139,7.5796875,-22.6546885,-41.02031325,-128.1799943841203,-20.98963102243639,-5.024937228879049,0.022903,0.041812,0.015979
2024-06-06 12:07:46.310,805.6,7436.4,658.0,79.70935616438356,0.0,6.826,52.33469279452055,4.8617259178082195,0.0,98.0,0.51,on,KEYGUARD_SHOWN,1.071386,3.386442,8.750552,7.490625,-22.640626,-41.1656265,-128.24195600148133,-21.045079331045194,-4.979882687239459,0.022903,0.041812,0.015979
2024-06-06 12:07:46.330,805.6,7436.4,658.0,79.68891780821919,0.0,6.826,52.33469273972603,4.861726095890411,0.0,98.0,0.51,on,KEYGUARD_SHOWN,1.113261,3.552145,9.375677,7.4015625,-22.626563500000003,-41.310939749999996,-128.3039874351789,-21.100482099549957,-4.934747101841593,0.022903,0.041812,0.015979
