dateTime,BandAccX,BandAccY,BandAccZ,altitude,course,hacc,latitude,longitude,speed,rate,rateZone,usage,deviceStatus,Acceleration_X,Acceleration_Y,Acceleration_Z,MagneticField_X,MagneticField_Y,MagneticField_Z,Orientation_X,Orientation_Y,Orientation_Z,AngularVelocity_X,AngularVelocity_Y,AngularVelocity_Z,act
2024-06-06 12:10:09.797,2123.275846968972,8403.710183913408,486.7619110155146,66.443,0.0,5.889,52.33466,4.861791,0.0,158.46653489700185,0.8277465949981115,on,KEYGUARD_SHOWN,10.932607,46.94458933333333,24.956343333333333,-19.893751,-27.4125,-18.28125,0.0,0.0,0.0,0.0,0.0,0.0,run
2024-06-06 12:10:09.799,1602.8697240445183,7694.096979271404,586.8086828106067,66.443,0.0,5.889,52.33466,4.861791,0.0,158.47032185372865,0.8277649264152476,on,KEYGUARD_SHOWN,18.284355,46.61418066666666,27.014569666666667,-19.395001200000003,-27.8287504,-18.45,159.497731,-23.439565,95.591667,0.0,0.0,0.0,run
2024-06-06 12:10:09.815,1057.6779907329478,6872.1572862337225,689.400042370689,66.443,0.0,5.889,52.33466,4.861791,0.0,158.47410351950958,0.8277832144290869,on,KEYGUARD_SHOWN,25.636103,46.283772,29.072796,-18.8962514,-28.2450008,-18.61875,159.8695972466378,-22.507157754908945,96.40088856625997,0.0,0.0,0.0,run
2024-06-06 12:10:09.835,500.3001291150603,5975.755386802968,791.7365223758361,66.443,0.0,5.889,52.33466,4.861791,0.0,158.47787984368745,0.8278014587186847,on,KEYGUARD_SHOWN,23.457439,41.449669,25.526632,-18.3975016,-28.6612512,-18.7875,160.25315117362382,-21.57968242150187,97.21129945671284,0.0,0.0,0.0,run
2024-06-06 12:10:09.855,-56.66437872834752,5042.75556298174,891.0186555061238,66.443,0.0,5.889,52.33466,4.861791,0.0,158.48165077560483,0.8278196589630963,on,KEYGUARD_SHOWN,18.113667,25.427929,9.586246,-17.8987518,-29.0775016,-18.95625,160.6483016980272,-20.65733318209892,98.02328970631896,0.0,0.0,0.0,run
2024-06-06 12:10:09.857,-600.6160507164765,4111.022096772637,984.4469744416266,66.443,0.0,5.889,52.33466,4.861791,0.0,158.4854162646045,0.8278378148413769,on,KEYGUARD_SHOWN,15.1363975,19.5906375,4.339384,-17.400002,-29.493752,-19.125,161.05497251252828,-19.740306698251604,98.83723720878336,0.0,0.0,0.0,run
2024-06-06 12:10:09.875,-1118.9554047685292,3218.4192701782595,1069.2220118624202,66.443,0.0,5.889,52.33466,4.861791,0.0,158.48917626002915,0.827855926032582,on,KEYGUARD_SHOWN,12.159128,13.753346,-0.907478,-16.7812515,-29.784377,-19.4437505,161.47310103696086,-18.82880233206863,99.65350854308404,0.0,0.0,0.0,run
2024-06-06 12:10:09.895,-1599.082958803706,2402.8113652012066,1142.544300448579,66.443,0.0,5.889,52.33466,4.861791,0.0,158.49293071122148,0.8278739922157663,on,KEYGUARD_SHOWN,7.87119,6.954141,-3.314059,-16.162501,-30.075002,-19.762501,161.9026374314565,-17.923022356102567,100.47245971033864,0.0,0.0,0.0,run
2024-06-06 12:10:09.915,-2028.399230741209,1702.0626638440797,1201.6143728801785,66.443,0.0,5.889,52.33466,4.861791,0.0,158.4966795675242,0.8278920130699856,on,KEYGUARD_SHOWN,5.438886,1.013959,-0.47677,-15.543750500000002,-30.365627,-20.0812515,162.34354366328373,-17.023172152315677,101.29443678698615,0.0,0.0,0.0,run
2024-06-06 12:10:09.917,-2394.304738500239,1154.0374481094764,1243.632761837294,66.443,0.0,5.889,52.33466,4.861791,0.0,158.50042277828,0.827909988274295,on,KEYGUARD_SHOWN,5.3086763333333336,-0.5804586666666667,0.4474576666666667,-14.925,-30.656252,-20.400002,162.79579262014673,-16.12946040050064,102.11977649951616,0.0,0.0,0.0,run
2024-06-06 12:10:09.929,-2684.2,796.6,1265.8,66.443,0.0,5.889,52.33466,4.861791,0.0,158.5041602928316,0.8279279175077496,on,KEYGUARD_SHOWN,5.178466666666667,-2.1748763333333336,1.3716853333333336,-14.8237502,-30.3262516,-20.5762516,163.2593672633035,-15.242099256396251,102.94880672531912,0.0,0.0,0.0,run
2024-06-06 12:10:09.935,-2888.879978151193,657.2497110540417,1266.1940238644113,66.443,0.0,5.889,52.33466,4.861791,0.0,158.50789206052167,0.8279458004494048,on,KEYGUARD_SHOWN,5.048257,-3.769294,2.295913,-14.7225004,-29.9962512,-20.7525012,163.73425981439337,-14.361304519611926,103.78184692364512,0.0,0.0,0.0,run
2024-06-06 12:10:09.955,-3012.717415830537,722.0264109531736,1246.4023851907964,66.443,0.0,5.889,52.33466,4.861791,0.0,158.51161803069297,0.8279636367783157,on,KEYGUARD_SHOWN,6.693323,-8.160722,2.714657,-14.6212506,-29.6662508,-20.9287508,164.22047097033666,-13.48729579135403,104.61920850013296,0.0,0.0,0.0,run
2024-06-06 12:10:09.975,-3063.4795009062505,966.6050389147616,1208.8900395554635,66.443,0.0,5.889,52.33466,4.861791,0.0,158.51533815268812,0.8279814261735378,on,KEYGUARD_SHOWN,8.282756,-13.226327,1.998605,-14.5200008,-29.3362504,-21.1050004,164.7180091410961,-12.62029662183161,105.46119510791247,0.0,0.0,0.0,run
