time,type,package
2024-06-05 03:33:49,STANDBY_BUCKET_CHANGED,com.huawei.intelligent
2024-06-05 03:43:49,STANDBY_BUCKET_CHANGED,com.huawei.search
2024-06-05 03:43:49,STANDBY_BUCKET_CHANGED,com.huawei.intelligent
2024-06-05 03:43:49,STANDBY_BUCKET_CHANGED,com.huawei.hiai
2024-06-05 05:33:50,STANDBY_BUCKET_CHANGED,com.huawei.search
2024-06-05 05:33:50,STANDBY_BUCKET_CHANGED,com.huawei.hiai
2024-06-05 05:33:50,STANDBY_BUCKET_CHANGED,com.huawei.intelligent
2024-06-05 05:44:14,STANDBY_BUCKET_CHANGED,com.huawei.search
2024-06-05 05:44:14,STANDBY_BUCKET_CHANGED,com.huawei.intelligent
2024-06-05 05:44:14,STANDBY_BUCKET_CHANGED,com.huawei.hiai
2024-06-05 06:13:41,STANDBY_BUCKET_CHANGED,com.huawei.intelligent
2024-06-05 06:13:47,STANDBY_BUCKET_CHANGED,com.huawei.hifolder
2024-06-05 06:30:59,NOTIFICATION_INTERRUPTION,com.zhihu.android
2024-06-05 07:38:49,STANDBY_BUCKET_CHANGED,com.huawei.search
2024-06-05 07:38:49,STANDBY_BUCKET_CHANGED,com.huawei.hiai
2024-06-05 07:54:07,SCREEN_INTERACTIVE,android
2024-06-05 07:54:09,ACTIVITY_RESUMED,com.huawei.android.launcher
2024-06-05 07:54:09,KEYGUARD_HIDDEN,android
2024-06-05 07:54:09,NOTIFICATION_INTERRUPTION,com.zhihu.android
2024-06-05 07:54:09,STANDBY_BUCKET_CHANGED,com.huawei.hifolder
2024-06-05 07:54:10,ACTIVITY_PAUSED,com.huawei.android.launcher
2024-06-05 07:54:10,STANDBY_BUCKET_CHANGED,com.zhihu.android
2024-06-05 07:54:10,ACTIVITY_RESUMED,com.zhihu.android
2024-06-05 07:54:10,STANDBY_BUCKET_CHANGED,com.huawei.gameassistant
2024-06-05 07:54:11,STANDBY_BUCKET_CHANGED,com.google.android.webview
2024-06-05 07:54:13,ACTIVITY_STOPPED,com.huawei.android.launcher
2024-06-05 07:54:14,ACTIVITY_PAUSED,com.zhihu.android
2024-06-05 07:54:14,ACTIVITY_RESUMED,com.zhihu.android
2024-06-05 07:54:15,ACTIVITY_STOPPED,com.zhihu.android
